idx,sleeve,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,exit_bar,exit_time,exit_price,exit_reason,bars_held,lots,points,gross,r_multiple
1,fast,long,161,2022-02-22 04:00:00,1909.27,1879.63,0,11.85742,0,172,2022-02-24 04:00:00,1913.34,EXIT_PROTECTIVE_STOP,11,0.03,4.07,12.21,0.1373
2,medium,long,161,2022-02-22 04:00:00,1909.27,1879.63,0,11.85742,0,172,2022-02-24 04:00:00,1913.34,EXIT_PROTECTIVE_STOP,11,0.03,4.07,12.21,0.1373
3,slow,long,161,2022-02-22 04:00:00,1909.27,1879.63,0,11.85742,0,172,2022-02-24 04:00:00,1913.34,EXIT_PROTECTIVE_STOP,11,0.03,4.07,12.21,0.1373
4,fast,long,215,2022-03-07 04:00:00,1997.79,1951.17,0,18.64702,0,232,2022-03-10 04:00:00,1974.6,EXIT_CHANNEL,17,0.02,-23.19,-46.38,-0.49745
5,medium,long,215,2022-03-07 04:00:00,1997.79,1951.17,0,18.64702,0,247,2022-03-14 16:00:00,1958.77,EXIT_PROTECTIVE_STOP,32,0.02,-39.02,-78.04,-0.83702
6,slow,long,215,2022-03-07 04:00:00,1997.79,1951.17,0,18.64702,0,247,2022-03-14 16:00:00,1958.77,EXIT_PROTECTIVE_STOP,32,0.02,-39.02,-78.04,-0.83702
7,fast,short,251,2022-03-15 04:00:00,1941.01,1995.82,0,21.92364,0,263,2022-03-17 08:00:00,1934.29,EXIT_CHANNEL,12,0.01,6.72,6.72,0.12261
8,fast,long,292,2022-03-24 00:00:00,1943.71,1913.26,0,12.18049,0,310,2022-03-29 04:00:00,1922.38,EXIT_PROTECTIVE_STOP,18,0.03,-21.33,-63.99,-0.70046
9,fast,long,389,2022-04-18 04:00:00,1987.42,1953.28,0,13.65596,0,394,2022-04-19 04:00:00,1975.62,EXIT_PROTECTIVE_STOP,5,0.02,-11.8,-23.6,-0.34564
10,medium,long,389,2022-04-18 04:00:00,1987.42,1953.28,0,13.65596,0,394,2022-04-19 04:00:00,1975.62,EXIT_PROTECTIVE_STOP,5,0.02,-11.8,-23.6,-0.34564
11,slow,long,389,2022-04-18 04:00:00,1987.42,1953.28,0,13.65596,0,394,2022-04-19 04:00:00,1975.62,EXIT_PROTECTIVE_STOP,5,0.02,-11.8,-23.6,-0.34564
12,fast,short,491,2022-05-11 04:00:00,1832.4,1871.73,0,15.73337,0,538,2022-05-23 04:00:00,1852.36,EXIT_CHANNEL,47,0.02,-19.96,-39.92,-0.50746
13,medium,short,491,2022-05-11 04:00:00,1832.4,1871.73,0,15.73337,0,538,2022-05-23 04:00:00,1852.36,EXIT_CHANNEL,47,0.02,-19.96,-39.92,-0.50746
14,fast,long,539,2022-05-23 04:00:00,1852.36,1818.45,0,13.56459,0,574,2022-05-31 04:00:00,1846.31,EXIT_CHANNEL,35,0.02,-6.05,-12.1,-0.17841
15,fast,short,581,2022-06-01 04:00:00,1834.52,1862.12,0,11.04006,0,586,2022-06-02 04:00:00,1847.08,EXIT_PROTECTIVE_STOP,5,0.03,-12.56,-37.68,-0.45507
16,slow,short,491,2022-05-11 04:00:00,1832.4,1871.73,0,15.73337,0,592,2022-06-03 04:00:00,1873.36,EXIT_PROTECTIVE_STOP,101,0.02,-40.96,-81.92,-1.04135
17,fast,long,593,2022-06-03 04:00:00,1873.36,1844.74,0,11.44713,0,598,2022-06-06 04:00:00,1850.85,EXIT_PROTECTIVE_STOP,5,0.03,-22.51,-67.53,-0.78657
18,medium,long,593,2022-06-03 04:00:00,1873.36,1844.74,0,11.44713,0,598,2022-06-06 04:00:00,1850.85,EXIT_PROTECTIVE_STOP,5,0.03,-22.51,-67.53,-0.78657
19,fast,long,845,2022-08-02 04:00:00,1780.23,1750.06,0,12.06829,0,850,2022-08-03 04:00:00,1756.66,EXIT_CHANNEL,5,0.03,-23.57,-70.71,-0.78122
20,medium,long,845,2022-08-02 04:00:00,1780.23,1750.06,0,12.06829,0,922,2022-08-19 04:00:00,1755.37,EXIT_PROTECTIVE_STOP,77,0.03,-24.86,-74.58,-0.82398
21,fast,short,929,2022-08-22 04:00:00,1745.28,1770.69,0,10.16345,0,994,2022-09-06 04:00:00,1723.89,EXIT_CHANNEL,65,0.03,21.39,64.17,0.84184
22,medium,short,929,2022-08-22 04:00:00,1745.28,1770.69,0,10.16345,0,994,2022-09-06 04:00:00,1723.89,EXIT_CHANNEL,65,0.03,21.39,64.17,0.84184
23,fast,long,995,2022-09-06 04:00:00,1723.89,1699.0,0,9.95531,0,1000,2022-09-07 04:00:00,1696.15,EXIT_PROTECTIVE_STOP,5,0.03,-27.74,-83.22,-1.11458
24,slow,short,977,2022-09-01 04:00:00,1705.95,1733.1,0,10.86008,0,1018,2022-09-12 04:00:00,1716.84,EXIT_PROTECTIVE_STOP,41,0.03,-10.89,-32.67,-0.4011
25,fast,short,1079,2022-09-26 04:00:00,1627.87,1666.05,0,15.27335,0,1102,2022-09-30 04:00:00,1664.63,EXIT_PROTECTIVE_STOP,23,0.02,-36.76,-73.52,-0.96272
26,medium,short,1079,2022-09-26 04:00:00,1627.87,1666.05,0,15.27335,0,1102,2022-09-30 04:00:00,1664.63,EXIT_PROTECTIVE_STOP,23,0.02,-36.76,-73.52,-0.96272
27,slow,short,1079,2022-09-26 04:00:00,1627.87,1666.05,0,15.27335,0,1102,2022-09-30 04:00:00,1664.63,EXIT_PROTECTIVE_STOP,23,0.02,-36.76,-73.52,-0.96272
28,fast,short,1194,2022-10-21 08:00:00,1621.75,1651.99,0,12.09791,0,1196,2022-10-21 20:00:00,1651.41,EXIT_PROTECTIVE_STOP,2,0.03,-29.66,-88.98,-0.98067
29,medium,short,1194,2022-10-21 08:00:00,1621.75,1651.99,0,12.09791,0,1196,2022-10-21 20:00:00,1651.41,EXIT_PROTECTIVE_STOP,2,0.03,-29.66,-88.98,-0.98067
30,fast,long,1213,2022-10-26 12:00:00,1672.89,1645.62,0,10.90905,0,1224,2022-10-28 12:00:00,1650.5,EXIT_CHANNEL,11,0.03,-22.39,-67.17,-0.82097
31,fast,short,1249,2022-11-03 12:00:00,1623.99,1647.76,0,9.5074,0,1253,2022-11-04 08:00:00,1647.08,EXIT_PROTECTIVE_STOP,4,0.04,-23.09,-92.36,-0.97145
32,fast,long,1257,2022-11-04 20:00:00,1674.36,1648.77,0,10.23578,0,1307,2022-11-17 08:00:00,1762.93,EXIT_CHANNEL,50,0.03,88.57,265.71,3.46119
33,medium,long,1269,2022-11-08 20:00:00,1714.84,1688.35,0,10.59697,0,1316,2022-11-18 20:00:00,1751.16,EXIT_CHANNEL,47,0.03,36.32,108.96,1.37096
34,slow,long,1269,2022-11-08 20:00:00,1714.84,1688.35,0,10.59697,0,1322,2022-11-21 20:00:00,1736.5,EXIT_CHANNEL,53,0.03,21.66,64.98,0.81759
35,fast,short,1317,2022-11-18 20:00:00,1751.16,1773.64,0,8.99106,0,1336,2022-11-24 04:00:00,1755.41,EXIT_CHANNEL,19,0.04,-4.25,-17.0,-0.18908
36,fast,long,1366,2022-12-01 00:00:00,1768.72,1746.2,0,9.00811,0,1382,2022-12-05 20:00:00,1769.71,EXIT_CHANNEL,16,0.04,0.99,3.96,0.04396
37,fast,long,1406,2022-12-09 16:00:00,1797.84,1776.29,0,8.62081,0,1412,2022-12-12 20:00:00,1782.9,EXIT_CHANNEL,6,0.04,-14.94,-59.76,-0.69321
38,fast,long,1418,2022-12-13 16:00:00,1810.87,1788.1,0,9.106,0,1428,2022-12-15 12:00:00,1777.54,EXIT_PROTECTIVE_STOP,10,0.04,-33.33,-133.32,-1.46409
39,fast,long,1449,2022-12-20 20:00:00,1817.9,1793.94,0,9.58548,0,1459,2022-12-22 16:00:00,1807.68,EXIT_CHANNEL,10,0.04,-10.22,-40.88,-0.42648
40,fast,long,1494,2023-01-03 08:00:00,1840.26,1819.6,0,8.26297,0,1507,2023-01-05 16:00:00,1834.6,EXIT_CHANNEL,13,0.04,-5.66,-22.64,-0.27399
41,fast,long,1517,2023-01-09 04:00:00,1874.28,1848.43,0,10.33821,0,1559,2023-01-18 08:00:00,1897.86,EXIT_CHANNEL,42,0.03,23.58,70.74,0.91234
42,fast,long,1570,2023-01-20 00:00:00,1931.91,1906.5,0,10.16302,0,1614,2023-01-31 12:00:00,1903.76,EXIT_PROTECTIVE_STOP,44,0.03,-28.15,-84.45,-1.10794
43,medium,long,1366,2022-12-01 00:00:00,1768.72,1746.2,0,9.00811,0,1614,2023-01-31 12:00:00,1903.76,EXIT_CHANNEL,248,0.04,135.04,540.16,5.99638
44,slow,long,1370,2022-12-01 16:00:00,1789.3,1765.44,0,9.54251,0,1614,2023-01-31 12:00:00,1903.76,EXIT_CHANNEL,244,0.04,114.46,457.84,4.7979
